,Resp,G1,G2,B1,B2
1,1.00,3.00,4.00,4.00,3.00
2,1.00,2.00,2.00,3.00,3.00
3,1.00,3.00,5.00,4.00,2.00
4,0.00,1.00,1.00,1.00,4.00
5,0.00,2.00,3.00,1.00,2.00
6,1.00,1.00,1.00,3.00,3.00
7,0.00,1.00,4.00,3.00,4.00
8,1.00,1.00,5.00,5.00,2.00
9,1.00,2.00,2.00,3.00,3.00
10,1.00,2.00,3.00,3.00,2.00
11,0.00,2.00,5.00,4.00,4.00
12,0.00,4.00,5.00,1.00,3.00
13,0.00,4.00,4.00,4.00,5.00
14,0.00,3.00,4.00,2.00,4.00
15,0.00,1.00,5.00,1.00,2.00
16,0.00,2.00,3.00,4.00,5.00
17,0.00,3.00,4.00,3.00,5.00
18,0.00,2.00,2.00,2.00,2.00
19,1.00,4.00,5.00,3.00,1.00
20,0.00,3.00,4.00,2.00,3.00
21,1.00,2.00,4.00,3.00,1.00
22,0.00,1.00,4.00,2.00,3.00
23,1.00,1.00,2.00,3.00,2.00
24,0.00,2.00,2.00,1.00,5.00
25,1.00,3.00,3.00,5.00,5.00
26,1.00,1.00,2.00,2.00,1.00
27,1.00,2.00,5.00,3.00,1.00
28,1.00,1.00,3.00,4.00,1.00
29,1.00,2.00,3.00,4.00,3.00
30,0.00,1.00,5.00,2.00,2.00
31,1.00,2.00,5.00,2.00,1.00
32,1.00,1.00,2.00,4.00,3.00
33,0.00,1.00,1.00,2.00,4.00
34,0.00,3.00,4.00,4.00,5.00
35,1.00,4.00,5.00,3.00,3.00
36,1.00,1.00,4.00,3.00,1.00
37,0.00,2.00,3.00,3.00,4.00
38,1.00,2.00,3.00,4.00,2.00
39,0.00,2.00,5.00,3.00,3.00
40,0.00,1.00,3.00,1.00,1.00
41,0.00,1.00,5.00,3.00,5.00
42,0.00,1.00,1.00,2.00,4.00
43,0.00,2.00,3.00,1.00,4.00
44,0.00,1.00,4.00,1.00,3.00
45,0.00,1.00,4.00,2.00,2.00
46,0.00,3.00,5.00,3.00,4.00
47,1.00,2.00,4.00,5.00,4.00
48,0.00,5.00,5.00,1.00,3.00
49,0.00,2.00,4.00,2.00,3.00
50,1.00,3.00,4.00,5.00,3.00
51,0.00,4.00,5.00,2.00,3.00
52,1.00,1.00,3.00,5.00,2.00
53,0.00,3.00,4.00,2.00,5.00
54,0.00,3.00,5.00,2.00,5.00
55,0.00,4.00,5.00,4.00,4.00
56,0.00,2.00,2.00,2.00,4.00
57,0.00,3.00,5.00,5.00,5.00
58,1.00,1.00,4.00,3.00,2.00
59,0.00,1.00,4.00,4.00,4.00
60,0.00,3.00,4.00,2.00,4.00
61,1.00,3.00,5.00,3.00,1.00
62,0.00,5.00,5.00,3.00,3.00
63,0.00,1.00,5.00,4.00,5.00
64,0.00,1.00,1.00,2.00,4.00
65,0.00,2.00,4.00,4.00,5.00
66,0.00,3.00,5.00,2.00,5.00
67,0.00,1.00,5.00,4.00,4.00
68,0.00,2.00,2.00,2.00,4.00
69,0.00,1.00,2.00,1.00,1.00
70,0.00,2.00,4.00,1.00,4.00
71,0.00,4.00,4.00,3.00,4.00
72,0.00,5.00,5.00,1.00,1.00
73,1.00,3.00,4.00,2.00,2.00
74,0.00,1.00,5.00,2.00,5.00
75,0.00,4.00,5.00,1.00,5.00
76,1.00,2.00,3.00,4.00,2.00
77,0.00,3.00,5.00,2.00,4.00
78,0.00,1.00,4.00,2.00,4.00
79,0.00,1.00,3.00,5.00,5.00
80,0.00,1.00,3.00,3.00,5.00
81,0.00,3.00,3.00,1.00,5.00
82,1.00,1.00,5.00,4.00,2.00
83,1.00,3.00,5.00,4.00,2.00
84,1.00,4.00,5.00,3.00,1.00
85,0.00,2.00,4.00,1.00,2.00
86,0.00,1.00,3.00,1.00,4.00
87,0.00,1.00,1.00,2.00,3.00
88,0.00,3.00,3.00,2.00,4.00
89,0.00,3.00,4.00,1.00,4.00
90,0.00,2.00,5.00,2.00,2.00
91,1.00,4.00,5.00,5.00,1.00
92,0.00,1.00,1.00,4.00,5.00
93,1.00,2.00,5.00,5.00,2.00
94,1.00,3.00,5.00,3.00,1.00
95,1.00,1.00,3.00,2.00,2.00
96,0.00,3.00,3.00,2.00,2.00
97,0.00,1.00,3.00,3.00,3.00
98,0.00,2.00,2.00,1.00,5.00
99,0.00,1.00,2.00,2.00,3.00
100,1.00,2.00,5.00,5.00,4.00
101,0.00,3.00,4.00,1.00,3.00
102,0.00,3.00,5.00,1.00,3.00
103,0.00,3.00,5.00,2.00,4.00
104,0.00,5.00,5.00,2.00,3.00
105,1.00,1.00,5.00,5.00,1.00
106,0.00,2.00,5.00,2.00,2.00
107,0.00,4.00,5.00,3.00,4.00
