"","resp","S1","S2","S3","S4"
"1",1,2,4,6,8
"2",1,1,4,6,9
"3",1,2,3,7,9
"4",1,2,5,6,7
"5",0,1,3,6,7
"6",0,1,5,6,9
"7",1,1,2,8,9
"8",1,3,5,10,11
"9",0,2,5,7,8
"10",1,3,4,5,10
"11",0,1,6,8,10
"12",0,4,8,9,10
"13",1,2,4,5,11
"14",0,3,8,10,11
"15",0,1,6,10,11
"16",1,6,7,8,11
"17",1,1,2,5,6
"18",1,5,7,8,11
"19",0,4,7,9,10
"20",1,4,5,9,11
"21",1,1,4,7,10
"22",1,3,5,6,10
"23",1,3,4,8,9
"24",0,2,6,9,10
"25",0,2,6,10,11
"26",1,1,2,4,10
"27",0,1,5,9,10
"28",0,4,7,8,10
"29",0,6,7,8,9
"30",1,1,2,5,10
"31",1,1,3,6,8
"32",1,1,4,5,8
"33",0,2,5,7,9
"34",1,4,6,9,11
"35",0,1,7,10,11
"36",0,1,7,9,10
"37",0,4,7,8,9
"38",1,1,2,6,10
"39",1,4,5,6,8
"40",1,3,6,7,10
"41",1,1,2,7,11
"42",1,2,4,8,10
"43",0,5,6,7,8
"44",1,2,4,8,11
"45",1,2,3,4,11
"46",1,4,5,7,8
"47",1,1,3,5,8
"48",1,3,6,8,11
"49",1,2,4,6,9
"50",1,1,2,9,10
"51",1,4,6,7,10
"52",1,1,2,4,8
"53",0,2,5,6,8
"54",1,4,5,8,10
"55",1,1,5,7,10
"56",1,2,5,6,9
"57",1,6,7,8,10
"58",1,2,6,8,11
"59",1,2,3,4,6
"60",1,2,3,8,10
"61",1,1,5,7,11
"62",1,6,8,9,10
"63",1,4,5,8,9
"64",1,4,5,6,11
"65",1,3,5,7,9
"66",0,3,9,10,11
"67",1,4,6,7,8
"68",1,1,8,9,11
"69",1,2,3,5,7
"70",0,2,7,10,11
"71",1,1,2,6,8
"72",1,2,6,7,11
"73",1,1,3,4,9
"74",1,1,2,5,7
"75",1,1,5,7,8
"76",1,2,4,6,11
"77",1,3,4,6,10
"78",0,2,8,9,11
"79",1,2,3,7,11
"80",1,4,5,8,11
"81",0,4,6,8,10
"82",0,3,5,6,9
"83",1,1,5,8,10
"84",1,1,2,3,4
"85",1,3,6,8,9
"86",1,3,5,8,9
"87",1,2,4,5,6
